gain,actDist,GoodBuyInterReward,BadBuyInterPenalty,ImpossibleBuyPenalty,GoodSellInterReward,BadSellInterPenalty,ImpossibleSellPenalty,NonInvestmentPenalty,Layers,TendWindowBars,Lookback
-6.088495211067754,"[(0, 463); (1, 499); (2, 1196)]",0.66,-0.08,-0.72,0.63,-0.9400000000000001,-0.75,-0.08,3,20,6
0,"[(2, 2158)]",0.6,-0.29,-0.99,0.67,-0.62,-0.81,-0.02,3,20,6
0,"[(2, 2158)]",0.6900000000000001,-0.04,-0.9400000000000001,0.85,-0.07,-0.79,-0.02,4,10,3
0,"[(2, 2158)]",0.64,-0.29,-0.8,0.92,-0.93,-0.88,0,3,30,10
0,"[(2, 2158)]",0.66,-0.28,-0.8300000000000001,0.9400000000000001,-0.17,-0.62,-0.05,5,20,6
0,"[(2, 2158)]",0.79,-0.14,-0.75,0.8300000000000001,-0.21,-0.88,-0.03,1,20,6
-0.4493423199716211,"[(0, 21); (1, 21); (2, 2116)]",0.9400000000000001,-0.18,-0.62,0.92,-0.44,-0.99,-0.04,2,20,6
-1.1037786449095424,"[(0, 68); (1, 68); (2, 2022)]",0.7000000000000001,-0.12,-0.72,0.8,-0.85,-0.61,-0.04,2,20,6
0,"[(2, 2158)]",0.81,-0.29,-0.67,0.75,-0.89,-0.7000000000000001,-0.05,4,40,13
0.9134411868597669,"[(0, 1); (2, 2157)]",0.88,-0.16,-0.75,0.93,-0.75,-0.97,-0.09,4,40,13
0,"[(2, 2158)]",0.75,-0.28,-0.84,0.9400000000000001,-0.8,-0.92,-0.06,3,20,6
0.7741971034969976,"[(0, 1); (2, 2157)]",0.8200000000000001,-0.17,-0.78,0.89,-0.24,-0.96,-0.03,2,40,13
-0.02889960979070592,"[(0, 2); (1, 2); (2, 2154)]",0.9500000000000001,-0.06,-0.9,0.68,-0.74,-0.81,-0.07,6,20,6
0,"[(2, 2158)]",0.78,-0.24,-0.8300000000000001,0.8300000000000001,-0.45,-0.75,-0.05,2,40,13
0,"[(1, 4); (2, 2154)]",0.93,-0.16,-0.81,0.63,-0.53,-0.66,-0.01,4,40,13
-0.9310787707523843,"[(0, 65); (1, 133); (2, 1960)]",0.66,-0.12,-0.61,0.8,-0.18,-0.85,-0.02,5,40,13
0,"[(1, 6); (2, 2152)]",0.99,-0.09,-0.84,0.87,-0.51,-0.91,-0.02,3,40,13
0.4838354026250443,"[(0, 5); (1, 30); (2, 2123)]",0.68,-0.22,-0.78,0.9400000000000001,-0.93,-0.65,0,4,20,6
-2.187980134799574,"[(0, 212); (1, 352); (2, 1594)]",0.99,-0.11,-0.68,0.9,-0.27,-0.98,-0.08,4,20,6
0,"[(2, 2158)]",0.74,-0.22,-0.65,0.78,-0.25,-0.68,-0.03,5,40,13
0,"[(1, 134); (2, 2024)]",0.89,-0.21,-0.9400000000000001,0.92,-0.1,-0.89,-0.06,2,10,3
0.3878141184817311,"[(0, 23); (1, 105); (2, 2030)]",0.8300000000000001,-0.24,-0.75,0.97,-0.13,-0.87,-0.03,3,30,10
