gain,actDist,GoodBuyInterReward,BadBuyInterPenalty,ImpossibleBuyPenalty,GoodSellInterReward,BadSellInterPenalty,ImpossibleSellPenalty,NonInvestmentPenalty,Layers,TendWindowBars,Lookback
0.11021098464593994,"[(0, 8); (1, 4); (2, 8626)]",0.6,-0.29,-0.99,0.72,-0.36,-0.88,-0.07,1,10,3
-0.53800626384539,"[(0, 454); (1, 609); (2, 7575)]",0.8200000000000001,-0.2,-0.93,0.92,-0.8300000000000001,-0.81,-0.02,1,20,6
0.05861859292643801,"[(0, 8); (1, 9); (2, 8621)]",0.88,-0.23,-0.78,0.79,-0.66,-0.98,-0.04,1,40,13
-0.45650232984493155,"[(0, 169); (1, 357); (2, 8112)]",0.62,-0.18,-0.61,0.87,-0.02,-0.79,-0.07,4,40,13
-0.005018715147811473,"[(0, 7); (1, 57); (2, 8574)]",0.84,-0.09,-0.86,0.73,-0.49,-0.6900000000000001,-0.03,5,10,3
0.25214024902604837,"[(0, 4); (1, 45); (2, 8589)]",0.7000000000000001,-0.17,-0.92,0.8300000000000001,-0.36,-0.73,-0.09,5,20,6
0.06725078298067375,"[(0, 24); (1, 40); (2, 8574)]",0.8300000000000001,-0.17,-0.67,0.9500000000000001,-0.1,-0.91,-0.08,2,20,6
0,"[(2, 8638)]",0.73,-0.06,-0.92,0.6,-0.11,-0.99,0,1,20,6
0,"[(1, 49); (2, 8589)]",0.96,-0.03,-0.97,0.88,-0.24,-0.6900000000000001,-0.05,2,30,10
-0.038142235123367195,"[(0, 11); (1, 62); (2, 8565)]",0.9,-0.08,-0.8300000000000001,0.7000000000000001,-0.84,-0.72,-0.03,6,30,10
-0.41655335726835224,"[(0, 166); (1, 191); (2, 8281)]",0.67,-0.29,-0.8300000000000001,0.63,-0.26,-0.85,-0.08,2,10,3
-0.004215720724161637,"[(0, 1); (1, 4); (2, 8633)]",0.9,-0.16,-0.89,0.62,-0.09,-0.9,-0.02,6,30,10
-0.017264380108471467,"[(0, 11); (1, 97); (2, 8530)]",0.92,-0.13,-0.67,0.97,-0.96,-0.65,-0.04,6,10,3
0,"[(1, 397); (2, 8241)]",0.9500000000000001,-0.17,-0.98,0.71,-0.5700000000000001,-0.98,-0.07,1,20,6
0,"[(1, 25); (2, 8613)]",0.6900000000000001,-0.15,-0.93,0.93,-0.52,-0.64,-0.06,2,40,13
-0.015859139867084256,"[(0, 12); (1, 59); (2, 8567)]",0.65,-0.09,-0.77,0.91,-0.37,-0.91,-0.08,2,20,6
-0.005018715147811473,"[(0, 7); (1, 3); (2, 8628)]",0.8200000000000001,-0.21,-0.86,0.77,-0.37,-0.96,0,3,10,3
